Ec,Rel,Erat_1,E50_1,c_1,phi_1,k0_1,Erat_2,E50_2,c_2,phi_2,k0_2
14.0,31.97,2.57,58.9,37.0,29.8,1.03,2.71,111.0,2.76,43.2,0.569
13.9,56.2,2.9,65.4,39.8,31.2,0.668,2.14,136.0,5.07,42.6,0.629
13.5,60.86,2.62,71.8,28.8,29.7,0.679,2.14,116.0,4.2,42.8,0.504
13.1,66.44,2.81,69.1,29.3,30.1,0.72,2.57,118.0,5.4,41.6,0.614
12.3,61.99,2.28,69.8,25.5,30.9,0.762,2.94,114.0,6.05,41.7,0.46
12.7,56.06,2.18,59.1,28.9,29.0,0.677,2.33,122.0,6.43,42.8,0.492
12.7,60.17,2.63,74.8,28.4,29.3,1.01,2.41,125.0,5.68,41.2,0.644
11.8,52.92,2.66,65.9,25.9,30.1,0.621,2.77,144.0,4.67,43.3,0.618
12.3,59.81,2.67,60.9,30.4,31.8,0.827,2.67,121.0,5.26,42.5,0.63
12.4,57.55,2.31,63.0,29.2,30.3,0.769,2.77,114.0,4.83,42.7,0.629
12.0,31.35,2.38,67.0,28.1,30.4,0.709,2.45,133.0,6.2,42.0,0.542
12.2,39.02,2.81,63.9,26.0,30.8,0.759,2.07,120.0,7.12,42.5,0.52
13.4,68.35,2.28,64.3,41.2,27.2,0.606,2.72,117.0,4.54,41.5,0.501
11.7,37.28,2.21,62.3,21.5,30.5,1.08,2.38,135.0,5.39,42.3,0.637
13.0,31.09,2.3,60.9,30.2,29.5,1.0,2.39,124.0,4.33,41.7,0.452
14.8,51.48,2.22,58.6,16.5,28.6,1.03,2.44,130.0,6.9,43.6,0.46
13.0,48.33,2.22,64.2,35.2,29.7,0.972,2.42,124.0,5.34,40.9,0.493
12.8,47.6,2.19,67.1,35.3,30.0,0.612,2.75,142.0,5.88,42.3,0.595
12.6,65.49,2.22,70.3,23.8,28.2,0.945,2.57,132.0,4.38,41.3,0.47
12.6,55.2,2.37,70.2,26.7,30.3,0.802,2.03,132.0,4.23,42.7,0.608
13.0,65.9,2.41,65.4,25.8,30.0,0.955,2.85,116.0,3.85,41.0,0.543
11.6,57.78,2.91,60.1,34.5,29.8,1.01,2.29,143.0,6.02,42.7,0.493
11.7,53.32,2.92,66.1,32.1,30.8,0.784,2.91,108.0,4.42,41.0,0.576
14.5,39.57,2.81,60.6,33.7,30.8,0.938,2.81,128.0,4.81,43.4,0.648
12.5,51.86,2.6,67.1,33.4,30.3,0.822,2.8,136.0,5.25,43.2,0.584
11.7,40.09,2.73,68.5,20.5,31.0,0.738,2.82,137.0,3.97,42.5,0.556
12.3,65.78,2.82,64.8,34.7,31.8,0.816,2.89,127.0,5.6,43.2,0.466
12.3,36.53,2.67,72.8,29.5,31.8,0.761,2.21,121.0,4.63,41.3,0.516
12.3,49.53,2.13,64.8,24.9,30.2,0.831,2.14,122.0,7.26,42.3,0.623
13.7,59.41,2.99,63.0,35.9,30.7,1.08,2.96,137.0,6.61,42.3,0.455
12.1,68.76,2.57,53.8,27.2,28.3,0.61,2.64,141.0,4.3,41.1,0.647
13.3,40.48,2.1,56.3,24.4,29.1,0.612,2.33,142.0,5.29,42.8,0.46
12.6,48.92,2.33,65.0,32.7,29.6,0.828,2.87,106.0,6.03,41.8,0.51
10.2,54.24,2.87,65.1,30.8,32.8,0.795,2.76,141.0,3.82,44.0,0.634
11.5,59.34,2.56,62.2,27.4,30.2,0.956,2.48,136.0,4.35,43.6,0.617
11.9,38.78,2.39,66.2,32.4,29.4,0.751,2.35,129.0,5.98,43.1,0.466
13.1,34.96,2.12,62.3,24.3,27.4,0.968,2.26,125.0,3.89,42.2,0.604
14.2,53.95,2.15,63.5,26.0,31.2,1.01,2.12,137.0,4.08,41.5,0.457
11.2,68.3,2.07,61.4,34.1,29.7,0.803,2.18,139.0,6.19,41.3,0.599
12.7,41.15,2.82,67.9,27.4,28.6,1.02,2.95,128.0,6.09,41.7,0.501
14.5,66.86,2.65,57.9,26.2,29.1,0.853,2.22,127.0,3.79,41.8,0.458
12.1,46.15,2.83,63.9,24.4,28.5,0.81,2.71,134.0,4.25,43.1,0.572
11.8,36.29,2.95,60.8,34.6,29.0,0.709,2.85,134.0,5.08,43.2,0.46
13.3,35.23,2.25,66.4,33.7,31.0,0.695,2.25,109.0,4.9,41.7,0.597
14.6,69.28,2.56,73.4,34.9,30.7,0.869,2.72,133.0,3.21,41.7,0.477
12.1,42.78,2.32,64.0,35.9,29.5,0.746,2.71,120.0,4.18,42.7,0.627
12.2,58.49,2.84,67.5,36.4,28.7,1.03,2.59,124.0,6.64,40.7,0.649
12.8,34.94,2.09,66.3,31.9,31.0,0.805,2.43,125.0,5.28,41.1,0.494
11.9,32.58,2.95,66.5,26.4,30.5,1.06,2.32,140.0,3.57,40.2,0.496
12.6,48.37,2.91,57.7,40.5,29.5,0.739,2.22,124.0,4.49,41.6,0.511
14.2,36.67,2.51,69.0,37.3,28.1,0.723,2.04,133.0,6.09,41.0,0.457
13.5,58.91,2.09,54.4,20.8,30.4,0.682,2.82,134.0,4.1,43.4,0.634
14.1,41.83,2.24,63.1,35.5,29.1,0.742,2.32,133.0,4.98,40.8,0.517
12.6,44.3,2.12,68.3,25.5,30.8,0.771,2.76,124.0,2.53,40.7,0.509
12.4,50.75,2.0,74.2,26.4,29.9,0.821,2.83,146.0,5.43,42.0,0.58
14.1,31.14,2.15,61.3,25.5,29.4,1.06,2.27,126.0,4.39,43.0,0.506
13.4,59.99,2.98,71.9,32.6,29.3,1.02,2.9,138.0,5.27,42.0,0.614
14.6,50.94,2.22,61.5,24.9,31.5,0.641,2.57,127.0,4.32,43.6,0.621
13.4,30.24,2.41,58.0,29.7,29.7,0.625,2.57,118.0,6.95,42.1,0.57
13.6,47.28,2.66,67.2,32.8,31.0,0.953,2.24,121.0,6.49,42.4,0.604
13.6,51.05,2.99,64.6,30.7,31.0,0.83,2.18,128.0,4.57,42.9,0.499
12.8,68.11,2.42,67.4,33.0,29.9,0.738,2.15,132.0,4.77,41.3,0.452
13.1,42.32,2.8,61.5,32.3,31.9,0.872,2.23,123.0,4.93,42.2,0.51
11.6,32.12,2.83,68.7,30.7,30.3,0.651,2.51,130.0,2.8,42.9,0.584
12.6,48.46,2.82,56.1,25.1,30.3,0.83,2.84,126.0,5.45,41.0,0.55
13.2,60.52,2.27,62.6,31.5,30.3,0.669,2.5,138.0,2.97,42.8,0.536
12.8,52.79,2.21,66.3,35.4,30.6,0.857,2.51,134.0,5.84,42.2,0.593
13.0,55.93,2.25,64.6,38.5,32.1,0.655,2.55,141.0,4.43,42.3,0.564
15.2,49.98,2.26,59.8,28.1,27.6,1.01,2.23,115.0,3.78,41.4,0.637
12.9,53.57,2.51,65.2,32.8,28.2,0.731,2.03,136.0,4.85,39.7,0.639
12.9,67.79,2.07,65.0,32.5,28.4,0.924,2.43,148.0,5.42,40.3,0.621
14.1,61.1,2.46,63.1,28.4,29.9,1.06,2.64,130.0,5.16,43.6,0.523
13.0,39.69,2.09,59.9,27.9,30.6,0.773,2.83,126.0,5.56,41.2,0.526
13.8,59.93,2.52,73.1,38.1,30.5,0.949,2.21,133.0,5.35,42.2,0.605
13.0,30.75,2.41,60.9,25.8,27.9,0.792,2.57,129.0,4.18,41.7,0.48
13.0,30.2,2.87,67.4,32.3,29.3,0.657,2.74,159.0,4.66,41.4,0.553
12.2,48.9,2.43,71.1,21.3,29.5,0.666,2.01,142.0,6.18,42.5,0.618
13.9,55.09,2.47,60.7,24.8,28.5,0.656,2.65,131.0,4.92,41.8,0.631
12.1,49.26,3.0,80.0,27.4,30.6,0.71,2.84,147.0,5.4,43.3,0.508
12.0,57.11,2.22,71.8,33.9,29.4,0.736,2.84,139.0,6.38,40.0,0.624
13.4,35.02,2.25,58.7,31.1,32.1,0.721,2.02,137.0,5.22,42.1,0.518
11.8,64.82,2.02,60.3,24.9,28.9,1.03,2.92,124.0,3.86,43.1,0.457
15.2,33.62,2.24,68.0,32.5,30.0,0.643,2.17,128.0,6.27,41.7,0.586
14.2,38.56,2.88,66.3,27.6,30.1,1.06,2.29,127.0,5.68,42.0,0.468
15.5,58.45,2.77,61.2,30.4,31.6,1.06,2.49,120.0,4.95,42.4,0.568
14.0,53.54,2.04,65.6,19.4,30.0,0.901,2.87,116.0,3.41,42.3,0.648
14.5,66.59,2.46,65.0,27.5,30.1,0.91,2.07,117.0,4.68,42.0,0.503
11.9,42.07,2.88,66.5,26.0,30.2,0.64,2.7,124.0,4.84,41.8,0.456
12.3,31.75,2.21,57.7,34.8,31.1,0.638,2.94,147.0,0.212,40.8,0.558
13.4,39.04,2.44,71.1,32.6,32.2,0.682,2.45,135.0,4.35,42.3,0.628
12.4,56.62,2.59,65.0,24.8,29.2,0.678,2.47,110.0,4.37,41.6,0.559
10.9,67.28,2.75,64.4,20.9,31.9,0.726,2.09,132.0,3.59,41.1,0.533
12.8,49.01,2.88,69.2,24.9,29.9,0.861,2.58,132.0,6.71,41.6,0.484
11.6,66.02,2.22,70.0,24.6,28.4,0.636,2.81,130.0,5.46,41.4,0.585
12.5,43.8,2.76,60.3,23.5,30.0,0.674,2.79,130.0,5.83,42.5,0.48
13.5,41.49,2.6,68.3,35.6,30.8,0.626,2.64,106.0,5.57,43.4,0.537
12.4,59.22,2.9,67.6,27.8,30.5,0.942,2.64,113.0,4.88,43.4,0.506
14.2,55.55,2.57,64.2,27.0,31.5,0.927,2.89,149.0,4.23,45.3,0.461
11.3,42.16,2.64,63.4,27.4,30.4,0.637,2.26,123.0,4.36,42.1,0.534
14.1,45.07,2.26,77.8,29.2,30.9,0.999,2.09,127.0,3.66,41.7,0.496
12.4,69.53,2.21,61.8,21.7,30.9,1.05,2.22,134.0,6.04,41.8,0.491
13.4,39.34,2.57,62.5,26.9,30.7,0.688,2.14,143.0,5.23,40.7,0.474
11.9,39.96,2.72,73.1,28.3,30.5,0.685,2.93,132.0,5.13,42.7,0.54
14.7,45.25,2.77,70.1,42.4,30.7,0.67,2.52,140.0,5.87,40.6,0.529
13.1,55.39,2.15,68.7,31.3,31.3,0.631,2.28,132.0,4.49,42.2,0.557
13.9,38.88,2.66,65.6,30.9,30.6,0.866,2.27,129.0,3.93,42.4,0.55
12.8,39.14,2.98,69.0,28.1,30.2,0.959,2.09,118.0,6.76,44.6,0.552
15.0,59.72,2.86,61.0,28.5,28.0,0.987,2.52,138.0,6.45,40.5,0.479
12.2,63.55,2.62,59.6,34.0,31.7,0.965,2.5,117.0,5.76,40.5,0.518
13.9,52.33,2.56,63.3,27.5,30.4,0.62,2.52,135.0,5.94,41.8,0.533
13.7,55.33,2.77,68.6,28.4,30.2,0.883,2.13,136.0,4.94,41.2,0.467
12.5,33.47,2.3,69.2,31.2,32.0,1.01,2.88,138.0,5.24,41.2,0.518
13.6,51.96,2.33,57.6,23.8,30.7,1.06,2.49,128.0,5.95,41.5,0.611
15.2,64.91,2.51,65.2,28.7,30.9,0.961,2.45,120.0,4.26,41.3,0.578
13.8,38.07,2.87,63.7,23.6,29.2,0.762,2.86,126.0,7.08,41.9,0.625
12.5,53.08,2.11,61.8,32.8,30.7,0.843,2.17,138.0,8.14,41.2,0.548
11.7,60.9,2.48,64.9,36.6,30.6,0.659,2.91,144.0,4.23,43.1,0.599
12.4,33.97,2.53,62.2,37.1,29.7,0.807,2.47,128.0,5.58,40.8,0.456
12.9,57.69,2.2,71.6,32.9,29.0,0.694,2.93,124.0,6.47,42.8,0.479
13.9,51.53,2.2,62.1,33.6,30.6,0.729,2.57,124.0,4.36,41.9,0.508
12.1,51.94,2.39,64.1,34.5,28.9,0.713,2.08,111.0,5.98,42.4,0.517
13.7,51.4,2.35,63.6,28.7,31.0,0.74,2.15,144.0,5.13,41.1,0.477
12.7,48.5,2.92,73.8,31.0,29.1,1.0,2.85,105.0,5.73,41.8,0.641
13.3,69.83,2.67,63.4,32.1,28.9,0.614,2.06,124.0,3.51,42.4,0.548
11.1,31.78,2.85,64.7,27.9,30.4,0.777,2.94,127.0,5.5,40.7,0.594
12.0,45.95,2.99,57.4,36.8,29.1,0.613,2.4,129.0,5.34,42.8,0.596
13.1,43.78,2.23,71.3,25.9,28.5,0.888,2.7,144.0,4.39,43.0,0.6
12.8,40.82,2.64,64.0,26.6,29.0,0.786,2.47,136.0,5.14,40.3,0.532
13.1,56.28,2.06,59.7,32.3,28.8,0.757,2.86,126.0,4.92,42.6,0.607
11.4,44.89,2.98,69.0,37.5,31.1,1.02,2.89,142.0,6.52,42.6,0.472
13.4,63.33,2.6,71.2,28.6,29.3,0.938,2.08,106.0,4.93,42.7,0.628
13.8,44.41,2.5,65.8,34.1,30.0,0.746,2.01,137.0,5.99,42.2,0.64
11.2,65.04,2.32,63.5,30.3,29.8,0.918,2.65,130.0,5.55,41.7,0.534
10.9,68.59,2.68,57.6,31.3,30.2,0.918,2.61,132.0,6.46,40.3,0.597
12.2,40.75,2.6,72.0,20.6,30.4,0.865,2.68,139.0,5.38,41.9,0.544
13.1,48.54,2.55,60.9,32.3,30.7,0.676,2.73,112.0,4.87,43.2,0.517
14.3,60.78,2.96,60.6,38.0,29.9,1.04,2.3,129.0,5.39,43.0,0.633
13.0,57.99,2.93,60.4,24.1,29.4,0.84,2.22,141.0,6.17,40.8,0.553
11.9,45.97,2.12,64.5,29.2,30.2,0.68,2.25,145.0,4.69,40.9,0.461
12.6,41.44,2.23,61.6,30.3,30.4,0.782,2.98,134.0,6.44,42.0,0.486
12.7,41.47,2.5,61.7,32.2,31.4,0.639,2.58,135.0,3.67,40.8,0.64
14.9,67.13,2.73,61.2,31.0,29.8,0.848,2.47,120.0,5.15,42.3,0.519
14.7,37.61,2.56,69.0,28.3,29.9,0.717,2.94,125.0,3.47,43.0,0.498
12.3,43.99,2.1,64.7,29.4,29.7,0.764,2.82,120.0,5.25,44.0,0.48
12.6,51.62,2.07,55.4,29.9,28.5,0.964,2.38,122.0,5.97,42.5,0.606
11.8,50.29,2.41,58.4,24.7,29.7,0.844,2.65,116.0,5.44,41.3,0.613
10.9,41.88,2.42,67.5,27.1,29.9,1.07,2.15,127.0,3.22,41.6,0.574
11.9,46.99,2.57,72.6,35.1,30.5,0.97,2.86,146.0,4.25,41.8,0.595
13.9,39.55,2.59,71.7,27.8,31.6,1.02,2.91,149.0,5.7,40.9,0.454
12.3,61.87,2.95,63.6,33.1,28.8,0.779,2.62,135.0,5.93,41.6,0.645
13.8,44.95,2.32,63.0,27.4,29.6,0.719,2.99,135.0,6.06,42.6,0.488
13.9,35.53,2.3,69.3,19.7,31.1,0.757,2.62,129.0,3.37,43.2,0.6
12.1,32.73,2.27,59.4,38.1,29.3,0.635,2.04,135.0,5.15,41.8,0.482
12.2,60.63,2.13,63.6,30.7,29.5,0.881,2.72,116.0,2.71,41.8,0.459
13.4,30.14,2.44,64.3,28.0,30.8,0.788,2.64,131.0,3.5,43.1,0.475
12.9,59.25,2.06,61.7,25.1,31.4,0.997,2.08,117.0,5.68,40.7,0.509
11.7,43.3,2.41,70.2,22.0,30.6,0.63,2.02,129.0,6.35,41.9,0.588
15.3,57.41,2.29,68.9,31.7,32.6,1.02,2.05,142.0,2.89,41.8,0.464
12.0,40.07,2.15,66.1,30.5,30.5,0.852,2.82,129.0,5.53,40.6,0.47
13.9,33.96,2.7,66.2,32.5,28.4,0.728,2.31,116.0,2.63,41.5,0.458
13.8,48.29,2.44,61.0,35.1,30.8,0.928,2.92,128.0,4.73,41.6,0.455
14.2,58.18,2.35,69.9,32.2,29.6,0.659,2.3,133.0,3.76,40.0,0.603
13.0,45.35,2.89,61.0,28.1,30.2,0.858,2.68,120.0,5.49,42.4,0.564
12.3,62.24,2.79,62.5,26.5,29.2,0.676,2.33,133.0,5.24,41.6,0.609
12.8,30.63,2.61,61.3,29.5,30.4,0.88,2.66,112.0,4.86,41.0,0.57
12.3,55.78,2.33,75.0,27.7,28.4,0.707,2.18,119.0,4.9,43.0,0.478
14.4,57.13,2.14,79.1,28.8,30.8,0.658,2.71,136.0,5.99,41.2,0.584
13.7,55.66,2.07,67.9,27.7,30.3,1.08,2.33,139.0,6.54,42.4,0.533
13.7,36.25,2.86,68.1,37.4,29.4,0.751,2.43,117.0,5.01,41.7,0.638
12.3,52.99,2.18,52.2,30.7,30.7,0.633,2.11,127.0,4.11,43.2,0.513
13.2,64.78,2.25,63.5,25.5,31.0,0.985,2.52,124.0,4.01,43.3,0.567
12.6,37.52,2.69,68.2,30.0,27.7,0.673,2.37,126.0,5.14,42.6,0.644
12.1,53.23,2.29,74.3,20.1,30.5,0.677,2.68,133.0,4.24,42.5,0.566
11.1,69.8,2.77,65.3,18.4,28.8,1.07,2.18,112.0,4.89,40.7,0.526
13.7,47.42,2.11,60.1,33.7,28.2,0.695,2.71,141.0,4.77,41.3,0.623
12.8,46.66,2.28,63.8,20.2,29.2,0.7,2.96,138.0,3.91,41.9,0.467
13.1,53.25,2.03,71.3,29.6,28.5,0.984,2.75,138.0,3.89,41.8,0.596
13.2,42.67,2.37,67.7,30.1,30.9,0.784,2.37,127.0,5.12,41.0,0.631
11.7,49.17,2.11,60.8,26.4,29.6,0.823,2.14,129.0,5.62,43.5,0.612
13.2,50.67,2.08,66.6,26.2,29.6,0.966,2.44,126.0,4.07,41.2,0.613
11.8,32.33,2.9,65.5,27.6,28.0,0.889,2.16,121.0,5.57,40.9,0.532
13.0,66.07,2.38,76.3,33.7,29.5,1.04,2.41,111.0,5.15,39.8,0.505
13.6,55.07,2.56,54.1,34.9,30.3,0.998,2.9,133.0,5.69,43.5,0.647
13.7,34.31,2.14,61.9,33.9,31.5,0.809,2.75,117.0,2.92,42.2,0.611
12.2,32.61,2.65,66.0,26.6,28.5,0.954,2.29,121.0,5.9,42.0,0.5
12.4,62.45,2.89,74.8,30.4,29.7,1.02,2.93,128.0,7.76,43.3,0.529
11.5,40.79,2.92,59.7,36.1,29.4,0.783,2.84,130.0,5.77,41.6,0.583
13.0,49.87,2.41,65.8,25.4,30.7,0.885,2.04,130.0,6.39,41.1,0.462
11.7,52.31,2.17,69.3,38.6,30.4,0.937,2.14,127.0,5.89,42.4,0.647
11.9,58.71,2.8,65.5,36.0,30.2,1.05,2.42,143.0,5.5,41.5,0.622
13.2,61.23,2.56,66.0,36.9,30.7,0.949,2.36,137.0,5.05,42.9,0.521
13.5,33.04,2.72,69.2,35.7,31.0,0.829,2.78,113.0,6.2,41.6,0.523
13.1,38.61,2.18,65.4,31.9,29.6,0.885,2.49,121.0,5.09,41.9,0.464
15.3,64.12,2.05,65.2,30.1,29.1,1.09,2.1,133.0,5.26,41.7,0.633
12.5,47.06,2.49,57.8,28.9,28.6,1.0,2.06,111.0,6.07,42.8,0.615
14.3,47.19,2.17,74.9,33.3,30.0,0.834,2.65,135.0,3.92,42.0,0.564
13.4,68.07,2.76,65.8,26.9,31.7,1.03,2.73,115.0,4.44,43.5,0.463
13.2,53.03,2.31,57.4,31.1,28.5,0.821,2.2,142.0,2.68,42.7,0.581
13.0,50.81,2.2,59.5,23.7,30.9,0.644,2.39,114.0,4.86,42.9,0.558
12.9,63.57,2.08,67.1,18.9,31.6,0.952,2.28,129.0,7.01,43.2,0.557
13.6,47.37,2.33,67.3,28.4,33.0,0.615,2.06,125.0,5.47,42.3,0.572
12.0,31.66,2.43,68.6,26.9,29.9,0.609,2.34,122.0,6.72,42.7,0.611
11.9,61.29,2.38,65.7,48.5,30.7,0.878,2.49,135.0,3.64,42.2,0.486
12.8,38.02,2.4,68.0,22.7,29.7,0.951,2.5,137.0,7.07,43.7,0.456
14.2,47.13,2.09,67.8,28.3,29.9,0.752,2.86,136.0,4.05,42.1,0.609
11.8,49.61,2.19,60.7,36.1,29.0,0.764,2.79,112.0,4.97,39.6,0.475
13.7,31.82,2.92,60.5,34.0,29.5,0.653,2.5,126.0,3.96,41.6,0.638
13.2,34.71,2.24,62.0,30.9,28.1,0.876,2.85,122.0,3.32,44.4,0.594
13.8,39.74,2.18,62.3,29.4,30.0,0.867,2.87,152.0,5.34,42.0,0.472
12.5,54.42,2.63,73.2,32.4,29.7,0.692,2.07,132.0,5.7,43.2,0.545
14.8,38.81,2.37,58.0,25.7,30.1,1.06,2.48,122.0,4.59,42.8,0.516
12.7,43.86,2.2,61.9,31.6,30.7,0.797,2.56,117.0,4.9,42.1,0.514
16.1,46.95,2.44,55.9,19.9,29.7,0.932,2.95,136.0,4.33,42.6,0.602
15.1,49.43,2.26,67.0,28.4,30.4,1.0,2.66,128.0,5.86,40.9,0.463
13.8,64.73,2.16,72.1,26.8,27.6,0.878,2.43,135.0,5.53,42.6,0.533
13.0,48.84,2.07,71.7,33.4,28.1,0.912,2.53,143.0,4.21,43.8,0.498
12.0,67.0,2.91,67.7,27.0,28.3,0.785,2.93,131.0,6.38,41.5,0.548
11.5,52.09,2.35,59.8,34.9,29.6,0.926,2.34,133.0,4.49,41.2,0.516
12.1,62.64,2.46,64.6,25.7,30.2,0.669,2.23,115.0,4.01,43.1,0.638
12.9,54.14,2.27,67.5,27.0,29.4,0.832,2.98,139.0,4.34,43.4,0.526
11.4,50.57,2.96,64.7,29.2,29.1,0.763,2.77,127.0,5.92,40.5,0.6
13.3,44.36,2.87,75.4,30.0,30.2,0.765,2.36,133.0,3.92,42.2,0.485
12.9,33.71,2.46,63.8,36.1,30.1,0.943,2.59,155.0,5.28,40.4,0.471
12.7,59.46,2.14,64.1,28.8,31.3,1.01,2.02,141.0,4.62,42.8,0.514
12.7,67.21,2.93,63.7,36.4,30.3,0.644,2.12,132.0,3.09,40.6,0.616
16.0,30.69,2.39,61.1,32.7,27.8,1.0,2.55,135.0,6.51,43.0,0.502
13.4,47.99,2.94,66.5,36.1,31.4,0.872,2.4,145.0,4.4,43.1,0.551
11.6,59.28,2.69,65.3,31.3,31.3,0.971,2.58,126.0,5.37,44.2,0.575
12.9,35.45,2.14,63.6,24.1,29.8,0.755,2.73,129.0,3.65,43.7,0.567
14.2,36.37,2.49,78.2,21.9,29.2,1.07,2.92,146.0,5.04,42.4,0.519
14.7,59.6,2.39,72.0,25.7,29.2,0.704,2.41,122.0,4.51,44.0,0.485
13.1,60.36,2.77,68.5,35.0,29.3,0.936,2.89,140.0,5.04,42.6,0.469
14.3,46.55,2.53,63.3,30.0,30.1,1.05,2.23,129.0,6.14,43.5,0.578
11.5,63.41,2.7,65.3,37.8,29.0,1.05,2.5,134.0,6.22,41.5,0.632
13.9,37.66,2.37,67.1,33.2,29.8,0.935,2.39,105.0,5.99,42.4,0.522
11.4,40.85,2.27,61.8,27.2,30.3,0.775,2.9,120.0,5.24,43.0,0.529
11.6,47.71,2.7,67.3,33.0,29.0,0.886,2.74,144.0,4.57,41.5,0.496
13.6,48.23,2.36,68.3,31.4,29.5,0.99,2.66,145.0,3.99,42.2,0.496
12.5,59.66,2.65,63.8,27.9,30.2,0.836,2.62,132.0,5.75,43.1,0.54
14.5,57.45,2.53,63.6,27.7,30.6,0.719,2.12,123.0,3.7,43.0,0.479
12.6,32.84,2.24,68.2,26.3,29.8,0.697,2.79,130.0,3.86,42.6,0.538
12.8,56.46,2.27,66.5,25.3,32.4,0.839,2.63,121.0,5.0,41.5,0.49
12.5,49.73,2.16,64.8,24.0,29.2,0.768,2.4,118.0,5.9,40.6,0.566
12.7,63.36,2.76,72.5,28.7,29.8,1.05,2.29,127.0,5.91,42.2,0.554
14.9,31.39,2.23,73.2,23.9,30.9,0.69,2.79,138.0,6.54,42.3,0.589
12.6,44.66,2.34,67.5,28.7,31.3,1.06,2.8,113.0,4.0,40.5,0.52
13.5,58.15,2.34,57.7,29.4,29.6,1.04,2.35,135.0,4.53,41.5,0.513
11.9,34.58,2.75,63.2,33.1,29.5,1.08,2.38,139.0,3.98,42.5,0.636
12.5,63.71,2.36,71.6,28.9,29.4,0.606,2.62,125.0,6.12,40.0,0.647
12.5,33.06,2.69,57.5,37.9,30.5,0.96,2.81,130.0,6.19,43.8,0.556
13.5,53.44,2.02,61.2,23.5,29.3,1.04,2.03,143.0,4.85,42.5,0.641
11.9,44.13,2.8,63.7,39.0,28.8,0.902,2.45,122.0,3.74,42.2,0.562
13.9,43.18,2.36,64.8,26.1,30.0,0.855,2.46,140.0,4.29,43.3,0.515
11.4,64.71,2.54,60.3,28.2,29.9,0.684,2.61,134.0,3.81,42.4,0.504
12.8,41.54,2.2,70.7,34.4,29.3,0.685,2.77,119.0,4.66,40.1,0.492
13.0,55.86,2.39,71.5,25.8,31.4,0.774,2.82,116.0,3.14,39.3,0.584
15.7,62.88,2.09,67.4,23.4,30.4,0.608,2.14,128.0,3.88,43.7,0.641
14.0,49.3,2.19,59.5,29.1,29.2,0.871,2.28,126.0,3.46,41.1,0.606
12.0,54.94,2.66,64.3,30.1,31.0,1.09,2.69,118.0,4.75,42.9,0.486
11.9,40.7,2.55,60.4,34.2,31.1,0.976,2.56,137.0,6.69,42.3,0.643
12.5,68.22,2.13,69.5,23.0,28.8,0.959,2.9,126.0,5.61,41.7,0.513
13.6,63.08,2.71,72.6,22.6,30.3,1.07,2.32,118.0,5.82,42.5,0.521
13.5,58.75,2.01,72.5,27.5,30.2,0.768,2.2,124.0,4.63,40.4,0.571
12.1,62.42,2.15,59.9,18.1,28.9,0.748,2.8,131.0,4.96,39.6,0.561
12.6,56.35,2.43,65.1,27.3,29.5,1.01,2.29,128.0,6.26,41.3,0.626
12.6,42.72,2.55,69.5,26.8,29.5,0.645,2.5,120.0,6.25,41.4,0.648
12.4,52.17,2.94,77.4,28.0,27.9,1.07,2.33,156.0,6.05,42.0,0.521
13.4,55.48,2.42,65.7,35.4,30.1,0.917,2.19,127.0,3.58,42.3,0.594
12.1,53.51,2.97,59.4,34.4,30.5,0.792,2.63,116.0,5.97,42.4,0.602
13.4,56.16,2.5,64.4,25.8,30.4,1.06,2.38,131.0,5.39,40.9,0.627
12.9,65.27,2.72,69.4,30.0,29.4,0.877,2.32,117.0,4.45,41.6,0.573
14.1,35.08,2.36,59.8,36.5,29.4,0.707,2.77,123.0,5.51,41.8,0.563
14.3,53.69,2.61,66.9,27.1,29.6,0.796,2.68,112.0,5.36,40.5,0.568
12.4,47.67,2.98,63.4,29.3,30.2,0.761,2.63,134.0,3.79,40.7,0.543
12.3,69.03,2.73,60.1,28.4,30.2,0.694,2.63,136.0,2.18,41.8,0.542
13.5,50.1,2.52,68.5,26.4,28.9,0.916,2.83,120.0,4.16,42.6,0.458
14.8,60.44,2.22,62.6,39.2,29.9,1.02,2.54,123.0,7.4,43.3,0.543
11.9,37.22,2.67,61.9,39.4,28.9,1.07,2.11,133.0,4.18,42.7,0.602
12.7,56.52,2.85,73.3,37.5,30.5,0.771,2.82,139.0,4.76,42.0,0.507
12.0,35.65,2.05,49.9,35.6,30.4,0.705,2.7,129.0,4.17,39.8,0.481
11.8,53.05,2.59,63.8,26.5,30.8,0.907,2.44,132.0,3.39,41.9,0.531
12.3,63.84,2.76,74.6,33.0,29.0,1.08,2.19,140.0,6.24,42.5,0.489
13.4,41.58,2.33,65.0,33.5,29.6,0.658,2.16,120.0,5.32,40.5,0.451
14.1,38.13,2.32,74.4,29.8,30.8,0.624,2.1,122.0,4.72,42.6,0.523
13.2,40.32,2.88,67.0,28.5,30.1,0.869,2.96,137.0,5.45,42.8,0.595
13.2,37.19,2.61,64.2,36.2,29.8,0.84,2.71,121.0,4.68,42.4,0.607
11.3,31.89,2.85,51.8,21.6,30.2,0.787,2.89,124.0,4.36,42.2,0.612
13.4,30.03,2.76,63.2,26.8,29.8,1.06,2.06,137.0,6.29,43.2,0.622
12.9,36.02,2.87,63.5,33.3,29.0,0.95,2.99,125.0,3.15,42.5,0.538
13.8,50.76,2.2,62.4,28.5,30.8,0.701,2.04,137.0,3.13,41.2,0.491
